match_id,draft_order,top_radiant_score,top_dire_score,top_verdict,mid_radiant_score,mid_dire_score,mid_verdict,bot_radiant_score,bot_dire_score,bot_verdict,analysis_error
8030949926,Radiant Ban: Io; Dire Ban: Sand King; Dire Ban: Necrophos; Radiant Ban: Doom; Dire Ban: Invoker; Dire Ban: Batrider; Radiant Ban: Timbersaw; Radiant Pick: Huskar; Dire Pick: Pudge; Radiant Ban: Ancient Apparition; Radiant Ban: Viper; Dire Ban: Hoodwink; Dire Pick: Venomancer; Radiant Pick: Earth Spirit; Radiant Pick: Rubick; Dire Pick: Lion; Dire Pick: Axe; Radiant Pick: Riki; Radiant Ban: Alchemist; Dire Ban: Bristleback; Dire Ban: Underlord; Radiant Ban: Dragon Knight; Radiant Pick: Bounty Hunter; Dire Pick: Slark,7,0,Radiant Ahead (7 vs 0),7,0,Radiant Ahead (7 vs 0),7,0,Radiant Ahead (7 vs 0),
8030954371,Dire Ban: Tusk; Radiant Ban: Shadow Demon; Radiant Ban: Lich; Dire Ban: Naga Siren; Radiant Ban: Shadow Fiend; Radiant Ban: Clockwerk; Dire Ban: Enchantress; Dire Pick: Vengeful Spirit; Radiant Pick: Muerta; Dire Ban: Enigma; Dire Ban: Mars; Radiant Ban: Drow Ranger; Radiant Pick: Pugna; Dire Pick: Lion; Dire Pick: Luna; Radiant Pick: Primal Beast; Radiant Pick: Invoker; Dire Pick: Kunkka; Dire Ban: Alchemist; Radiant Ban: Puck; Radiant Ban: Sand King; Dire Ban: Morphling; Dire Pick: Rubick; Radiant Pick: Dragon Knight,6,0,Radiant Ahead (6 vs 0),7,0,Radiant Ahead (7 vs 0),7,0,Radiant Ahead (7 vs 0),
8030955021,Radiant Ban: Earth Spirit; Dire Ban: Naga Siren; Dire Ban: Chen; Radiant Ban: Invoker; Dire Ban: Pangolier; Dire Ban: Sand King; Radiant Ban: Tusk; Radiant Pick: Clockwerk; Dire Pick: Shadow Demon; Radiant Ban: Beastmaster; Radiant Ban: Luna; Dire Ban: Mars; Dire Pick: Shadow Fiend; Radiant Pick: Gyrocopter; Radiant Pick: Terrorblade; Dire Pick: Ogre Magi; Dire Pick: Bristleback; Radiant Pick: Morphling; Radiant Ban: Doom; Dire Ban: Puck; Dire Ban: Storm Spirit; Radiant Ban: Queen of Pain; Radiant Pick: Monkey King; Dire Pick: Dazzle,0,1,Even Lane (0 vs 1),0,4,Dire Ahead (4 vs 0),3,0,Radiant Ahead (3 vs 0),
8030961605,Dire Ban: Tusk; Radiant Ban: Shadow Demon; Radiant Ban: Luna; Dire Ban: Alchemist; Radiant Ban: Treant Protector; Radiant Ban: Nyx Assassin; Dire Ban: Medusa; Dire Pick: Jakiro; Radiant Pick: Clockwerk; Dire Ban: Shadow Fiend; Dire Ban: Storm Spirit; Radiant Ban: Ursa; Radiant Pick: Bane; Dire Pick: Abaddon; Dire Pick: Centaur Warrunner; Radiant Pick: Timbersaw; Radiant Pick: Morphling; Dire Pick: Drow Ranger; Dire Ban: Puck; Radiant Ban: Outworld Devourer; Radiant Ban: Viper; Dire Ban: Invoker; Dire Pick: Queen of Pain; Radiant Pick: Earth Spirit,3,0,Radiant Ahead (3 vs 0),6,0,Radiant Ahead (6 vs 0),3,0,Radiant Ahead (3 vs 0),
8030994104,Radiant Ban: Invoker; Dire Ban: Tusk; Dire Ban: Shadow Demon; Radiant Ban: Clockwerk; Dire Ban: Alchemist; Dire Ban: Pangolier; Radiant Ban: Muerta; Radiant Pick: Storm Spirit; Dire Pick: Puck; Radiant Ban: Beastmaster; Radiant Ban: Dark Willow; Dire Ban: Medusa; Dire Pick: Hoodwink; Radiant Pick: Lion; Radiant Pick: Bounty Hunter; Dire Pick: Enchantress; Dire Pick: Dragon Knight; Radiant Pick: Primal Beast; Radiant Ban: Bristleback; Dire Ban: Morphling; Dire Ban: Luna; Radiant Ban: Dawnbreaker; Radiant Pick: Terrorblade; Dire Pick: Sand King,0,1,Even Lane (0 vs 1),1,0,Even Lane (1 vs 0),0,4,Dire Ahead (4 vs 0),
8030995236,Dire Ban: Batrider; Radiant Ban: Doom; Radiant Ban: Tusk; Dire Ban: Beastmaster; Radiant Ban: Nyx Assassin; Radiant Ban: Enchantress; Dire Ban: Clockwerk; Dire Pick: Luna; Radiant Pick: Chen; Dire Ban: Hoodwink; Dire Ban: Medusa; Radiant Ban: Crystal Maiden; Radiant Pick: Phoenix; Dire Pick: Marci; Dire Pick: Centaur Warrunner; Radiant Pick: Pangolier; Radiant Pick: Alchemist; Dire Pick: Grimstroke; Dire Ban: Sand King; Radiant Ban: Puck; Radiant Ban: Storm Spirit; Dire Ban: Invoker; Dire Pick: Timbersaw; Radiant Pick: Necrophos,4,0,Radiant Ahead (4 vs 0),7,0,Radiant Ahead (7 vs 0),7,0,Radiant Ahead (7 vs 0),
8030996354,Dire Ban: Shadow Demon; Radiant Ban: Clockwerk; Radiant Ban: Dragon Knight; Dire Ban: Tusk; Radiant Ban: Luna; Radiant Ban: Shadow Fiend; Dire Ban: Dawnbreaker; Dire Pick: Earth Spirit; Radiant Pick: Hoodwink; Dire Ban: Invoker; Dire Ban: Pangolier; Radiant Ban: Doom; Radiant Pick: Lich; Dire Pick: Skywrath Mage; Dire Pick: Alchemist; Radiant Pick: Slardar; Radiant Pick: Monkey King; Dire Pick: Chen; Dire Ban: Phantom Assassin; Radiant Ban: Broodmother; Radiant Ban: Beastmaster; Dire Ban: Medusa; Dire Pick: Mars; Radiant Pick: Gyrocopter,0,4,Dire Ahead (4 vs 0),0,4,Dire Ahead (4 vs 0),0,5,Dire Ahead (5 vs 0),
8030996615,Radiant Ban: Alchemist; Dire Ban: Enchantress; Dire Ban: Pudge; Radiant Ban: Invoker; Dire Ban: Visage; Dire Ban: Warlock; Radiant Ban: Monkey King; Radiant Pick: Nature's Prophet; Dire Pick: Dragon Knight; Radiant Ban: Pugna; Radiant Ban: Shadow Demon; Dire Ban: Enigma; Dire Pick: Sand King; Radiant Pick: Jakiro; Radiant Pick: Tusk; Dire Pick: Muerta; Dire Pick: Crystal Maiden; Radiant Pick: Morphling; Radiant Ban: Doom; Dire Ban: Viper; Dire Ban: Night Stalker; Radiant Ban: Shadow Fiend; Radiant Pick: Tidehunter; Dire Pick: Bristleback,3,3,Even Lane (3 vs 3),4,0,Radiant Ahead (4 vs 0),0,1,Even Lane (0 vs 1),
8030997556,Dire Ban: Visage; Radiant Ban: Shadow Demon; Radiant Ban: Tusk; Dire Ban: Dark Willow; Radiant Ban: Shadow Fiend; Radiant Ban: Luna; Dire Ban: Pangolier; Dire Pick: Invoker; Radiant Pick: Earthshaker; Dire Ban: Bounty Hunter; Dire Ban: Lycan; Radiant Ban: Beastmaster; Radiant Pick: Clockwerk; Dire Pick: Muerta; Dire Pick: Vengeful Spirit; Radiant Pick: Snapfire; Radiant Pick: Broodmother; Dire Pick: Timbersaw; Dire Ban: Alchemist; Radiant Ban: Dragon Knight; Radiant Ban: Morphling; Dire Ban: Anti-Mage; Dire Pick: Medusa; Radiant Pick: Razor,3,0,Radiant Ahead (3 vs 0),0,2,Dire Ahead (2 vs 0),0,3,Dire Ahead (3 vs 0),
8030999977,Dire Ban: Naga Siren; Radiant Ban: Tusk; Radiant Ban: Nyx Assassin; Dire Ban: Shadow Fiend; Radiant Ban: Alchemist; Radiant Ban: Medusa; Dire Ban: Terrorblade; Dire Pick: Luna; Radiant Pick: Visage; Dire Ban: Clockwerk; Dire Ban: Marci; Radiant Ban: Beastmaster; Radiant Pick: Shadow Demon; Dire Pick: Dawnbreaker; Dire Pick: Dark Willow; Radiant Pick: Batrider; Radiant Pick: Dragon Knight; Dire Pick: Underlord; Dire Ban: Puck; Radiant Ban: Invoker; Radiant Ban: Earth Spirit; Dire Ban: Huskar; Dire Pick: Storm Spirit; Radiant Pick: Monkey King,5,0,Radiant Ahead (5 vs 0),7,0,Radiant Ahead (7 vs 0),5,0,Radiant Ahead (5 vs 0),
